timestamp,platform_a,error_x,platform_c,platform_b,error_y,platform_y,platform_x,error_delta_x,error_delta_y,mode,error_sum_y,error_sum_x,active,ball_x,ball_y,target_y,target_x
1353,-20,-93,-112,131,-35,-20,-140,-9,2,72,-3458,-1015,1,1389,3043,3008,1296
1361,-20,-95,-42,61,-34,-20,-60,-9,2,72,-3492,-1015,1,1391,3042,3008,1296
1369,-20,-95,-25,44,-34,-20,-40,-9,2,72,-3526,-1015,1,1391,3042,3008,1296
1377,0,-100,-18,17,-34,0,-20,-12,1,72,-3560,-1015,1,1396,3042,3008,1296
1389,0,-100,0,0,-34,0,0,-10,1,72,-3594,-1015,1,1396,3042,3008,1296
1401,0,-100,0,0,-34,0,0,-7,1,72,-3628,-1015,1,1396,3042,3008,1296
1413,0,-102,0,0,-33,0,0,-7,1,72,-3661,-1015,1,1398,3041,3008,1296
1421,0,-102,0,0,-33,0,0,-7,1,72,-3694,-1015,1,1398,3041,3008,1296
1429,0,-102,0,0,-31,0,0,-2,3,72,-3725,-1117,1,1398,3039,3008,1296
1437,0,-102,0,0,-31,0,0,-2,3,72,-3756,-1219,1,1398,3039,3008,1296
1449,0,-102,0,0,-31,0,0,-2,3,72,-3787,-1321,1,1398,3039,3008,1296
1461,0,-102,0,0,-27,0,0,0,6,72,-3787,-1423,1,1398,3035,3008,1296
1473,0,-102,0,0,-27,0,0,0,6,72,-3787,-1525,1,1398,3035,3008,1296
1481,0,-102,0,0,-27,0,0,0,4,72,-3814,-1627,1,1398,3035,3008,1296
1489,0,-103,0,0,-25,0,0,-1,6,72,-3814,-1730,1,1399,3033,3008,1296
1497,0,-103,0,0,-25,0,0,-1,6,72,-3814,-1833,1,1399,3033,3008,1296
1509,0,-103,0,0,-25,0,0,-1,2,72,-3839,-1936,1,1399,3033,3008,1296
1521,0,-103,0,0,-25,0,0,-1,2,72,-3864,-2039,1,1399,3033,3008,1296
1533,0,-103,0,0,-25,0,0,-1,2,72,-3889,-2142,1,1399,3033,3008,1296
1541,0,-103,0,0,-23,0,0,0,2,72,-3912,-2245,1,1399,3031,3008,1296
1549,0,-103,0,0,-23,0,0,0,2,72,-3935,-2348,1,1399,3031,3008,1296
1557,0,-103,0,0,-23,0,0,0,2,72,-3958,-2451,1,1399,3031,3008,1296
1569,0,-103,0,0,-21,0,0,0,4,72,-3979,-2554,1,1399,3029,3008,1296
1581,0,-103,0,0,-21,0,0,0,4,72,-4000,-2657,1,1399,3029,3008,1296
1593,0,-103,0,0,-21,0,0,0,2,72,-4021,-2760,1,1399,3029,3008,1296
1601,0,-103,-18,17,-21,0,-20,0,2,72,-4042,-2863,1,1399,3029,3008,1296
1609,0,-103,-18,17,-21,0,-20,0,2,72,-4063,-2966,1,1399,3029,3008,1296
1617,20,-103,-28,7,-21,20,-20,0,0,72,-4084,-3069,1,1399,3029,3008,1296
1629,20,-103,-28,7,-19,20,-20,0,2,72,-4103,-3172,1,1399,3027,3008,1296
1641,20,-103,-28,7,-19,20,-20,0,2,72,-4122,-3275,1,1399,3027,3008,1296
1653,20,-103,-28,7,-19,20,-20,0,2,72,-4141,-3378,1,1399,3027,3008,1296
1661,20,-104,-28,7,-17,20,-20,-1,4,72,-4158,-3482,1,1400,3025,3008,1296
1668,20,-104,-28,7,-17,20,-20,-1,4,72,-4175,-3586,1,1400,3025,3008,1296
1677,20,-104,-28,7,-17,20,-20,-1,2,72,-4192,-3690,1,1400,3025,3008,1296
1689,40,-104,-55,14,-17,40,-40,-1,2,72,-4209,-3794,1,1400,3025,3008,1296
1701,60,-105,-65,4,-14,60,-40,-2,5,72,-4209,-3899,1,1401,3022,3008,1296
1713,80,-105,-127,46,-14,80,-100,-1,3,72,-4223,-4004,1,1401,3022,3008,1296
1720,80,-105,-231,150,-12,80,-220,-1,5,72,-4223,-4109,1,1401,3020,3008,1296
1728,100,-106,-345,244,-10,100,-340,-2,7,72,-4223,-4215,1,1402,3018,3008,1296
1737,100,-106,-414,313,-8,100,-420,-2,9,72,-4223,-4321,1,1402,3016,3008,1296
1749,120,-106,-459,338,-6,120,-460,-1,8,72,-4223,-4427,1,1402,3014,3008,1296
1761,140,-106,-504,363,-6,140,-500,-1,8,72,-4223,-4533,1,1402,3014,3008,1296
1772,140,-108,-521,380,-4,140,-520,-3,8,72,-4223,-4641,1,1404,3012,3008,1296
1780,140,-108,-504,363,-4,140,-500,-2,6,72,-4223,-4749,1,1404,3012,3008,1296
1788,140,-108,-486,345,-4,140,-480,-2,4,72,-4227,-4857,1,1404,3012,3008,1296
1797,140,-111,-417,276,-4,140,-400,-5,2,72,-4231,-4857,1,1407,3012,3008,1296
1809,140,-112,-313,172,-2,140,-280,-6,4,72,-4233,-4857,1,1408,3010,3008,1296
1821,100,-112,-172,71,-2,100,-140,-4,2,72,-4235,-4969,1,1408,3010,3008,1296
1832,80,-112,-75,-6,-2,80,-40,-4,2,72,-4237,-5081,1,1408,3010,3008,1296
1840,60,-114,-48,-13,0,60,-20,-6,4,72,-4237,-5081,1,1410,3008,3008,1296
1848,60,-116,-48,-13,2,60,-20,-5,6,72,-4237,-5081,1,1412,3006,3008,1296
1857,40,-116,-20,-20,2,40,0,-4,4,72,-4235,-5197,1,1412,3006,3008,1296
1869,40,-116,-20,-20,2,40,0,-4,4,72,-4233,-5313,1,1412,3006,3008,1296
1881,40,-118,-20,-20,3,40,0,-6,5,72,-4233,-5313,1,1414,3005,3008,1296
1892,20,-119,-10,-10,5,20,0,-5,5,72,-4233,-5313,1,1415,3003,3008,1296
1900,20,-119,-10,-10,5,20,0,-3,3,72,-4228,-5432,1,1415,3003,3008,1296
1908,20,-119,-10,-10,5,20,0,-3,3,72,-4223,-5551,1,1415,3003,3008,1296
1917,20,-120,-10,-10,10,20,0,-4,8,72,-4223,-5671,1,1416,2998,3008,1296
1929,20,-120,-10,-10,10,20,0,-2,7,72,-4223,-5791,1,1416,2998,3008,1296
1941,20,-120,-10,-10,10,20,0,-1,5,72,-4223,-5911,1,1416,2998,3008,1296
1952,20,-120,-10,-10,12,20,0,-1,7,72,-4223,-6031,1,1416,2996,3008,1296
1960,20,-118,-10,-10,14,20,0,1,9,72,-4223,-6149,1,1414,2994,3008,1296
1968,20,-118,-10,-10,14,20,0,2,4,72,-4209,-6267,1,1414,2994,3008,1296
1977,20,-118,-10,-10,14,20,0,2,4,72,-4195,-6385,1,1414,2994,3008,1296
1989,20,-117,-10,-10,16,20,0,3,6,72,-4195,-6502,1,1413,2992,3008,1296
2001,20,-117,-10,-10,16,20,0,3,4,72,-4179,-6619,1,1413,2992,3008,1296
2012,40,-117,-20,-20,16,40,0,1,2,72,-4163,-6736,1,1413,2992,3008,1296
2020,60,-117,-48,-13,16,60,-20,1,2,72,-4147,-6853,1,1413,2992,3008,1296
2028,60,-117,-65,4,16,60,-40,1,2,72,-4131,-6970,1,1413,2992,3008,1296
2037,80,-117,-75,-6,16,80,-40,0,0,72,-4115,-7087,1,1413,2992,3008,1296
2049,100,-117,-102,1,16,100,-60,0,0,72,-4099,-7204,1,1413,2992,3008,1296
2061,100,-117,-120,19,16,100,-80,0,0,72,-4083,-7321,1,1413,2992,3008,1296
2072,120,-117,-164,43,16,120,-120,0,0,72,-4067,-7438,1,1413,2992,3008,1296
2080,120,-117,-164,43,16,120,-120,0,0,72,-4051,-7555,1,1413,2992,3008,1296
2088,120,-117,-164,43,16,120,-120,0,0,72,-4035,-7672,1,1413,2992,3008,1296
2097,120,-117,-164,43,16,120,-120,0,0,72,-4019,-7789,1,1413,2992,3008,1296
2109,120,-117,-130,9,16,120,-80,0,0,72,-4003,-7906,1,1413,2992,3008,1296
2121,120,-117,-112,-9,16,120,-60,0,0,72,-3987,-8023,1,1413,2992,3008,1296
2131,100,-116,-85,-16,19,100,-40,1,3,72,-3968,-8139,1,1412,2989,3008,1296
2140,100,-116,-68,-33,19,100,-20,1,3,72,-3949,-8255,1,1412,2989,3008,1296
2148,100,-116,-68,-33,19,100,-20,1,3,72,-3930,-8371,1,1412,2989,3008,1296
2157,100,-115,-68,-33,21,100,-20,2,5,72,-3930,-8486,1,1411,2987,3008,1296
2169,100,-115,-68,-33,21,100,-20,2,5,72,-3930,-8601,1,1411,2987,3008,1296
2181,100,-115,-68,-33,21,100,-20,1,2,72,-3909,-8716,1,1411,2987,3008,1296
2191,100,-115,-68,-33,21,100,-20,1,2,72,-3888,-8831,1,1411,2987,3008,1296
